Mapped Region,Geographical Region,Institution(s),Contributor Name(s),Type of Data,Reference
Andaman Sea,India ,Gujarat Institute of Desert Ecology,Prusty et al.,Published paper or report,"Prusty, B. A. K., Chandra, R., & Azeez, P. (2017). Wetland science: perspectives from south Asia: Springer."
Andaman Sea,"Lampi Island, Marine National Park, Myanmar","National Research Council, Institute for Electromagnetic 
Sensing of the Environment (CNR-IREA) and University of Milano-Bicocca","Dr. Claudia Giardino, Dr. Mariano Bresciani, Prof. 
Roberto Colombo, Dr. Francesco Fava",Existing Maps,"Giardino, C., Bresciani, M., Fava, F., Matta, E., Brando, V. E., & Colombo, R. (2016). Mapping submerged habitats and mangroves of Lampi Island Marine National Park (Myanmar) from in situ and satellite observations. Remote Sensing, 8(1), 2. "
Andaman Sea,Myanmar,Flora and Fauna International,U Soe-Htun,Published paper or report,"Soe-Htun, U., Maung, A., Mon, S., Ha, S. T., Aung, S. T., Lwin, A. M., & Lunn, Z. (2015). Seagrass conservation and monitoring in Myanmar: the biodiversity, distribution and coverage of seagrasses in the Tanintharyi and Rakhine. "
Andaman Sea,Myanmar,"Flora and Fauna International, Department of Fisheries (MOALI)",U Zau Lunn,Existing point data,"Howard, R. (Ed.) (2018). Marine Biodiversity of Myeik Archipelago: Survey Results 2013-2017 and Conservation Recommendations. Tanintharyi Conservation Programme, a joint initiative of Fauna & Flora International, the Myanmar Forest Department and Department of Fisheries. (Unpublished Data)"
Andaman Sea,"North Andaman, India","National Institute of Ocean Technology (Ministry of Earth Sciences, Govt. of India)",Jha et al.,Published paper or report,"Jha, D. K., Vinithkumar, N., Marimuthu, N., Baskar, B., Sahu, B. K., Das, A. K., & Kirubagaran, R. (2013). Field and GIS based post-tsunami assessment of Scleractinian coral cover in the Aerial Bay group of Islands, North Andaman, India. Journal of Coastal Conservation, 17(3), 671-677"
Andaman Sea,"North Bay, Port Blair, Andaman and Nicobar Islands",Zoological Survey of India,Dharani et al.,Published paper or report,"Dharani, G., Nazar, A. A., Saravanane, N., Vinithkumar, N.V., Santhanakumar, J., Ratnam, K., Jha, D. K., Peter, D. M., Venkateshwaran, P., Kumar, T. S. & Kirubagaran, R. (2012). On the recurrence of coral bleaching and recovery in North Bay, Port Blair, Andaman and Nicobar Islands. In Ecology of Faunal Communities on the Andaman and Nicobar Islands (pp. 71-84). Springer, Berlin, Heidelberg."
Andaman Sea,"North Reef Island, Andaman","Environment & Hydrology Division, Space Applications Centre, Indian Space Research Organisation, India",Chaudhury et al.,Published paper or report,"Chaudhury, N. R. (2017). Habitat Level Mapping of Coral Reefs at Different Scales: Case Study on Andaman and Nicobar Islands. In B. K. A. Prusty, R. Chandra, & P. A. Azeez (Eds.), Wetland Science Perspectives From South Asia (pp. 449-461). Springer Nature. 
"
Andaman Sea,Pongi Balu coast - South Andaman Islands,"National Institute of Ocean Technology (Ministry of Earth Sciences, Govt. of India)",Jha et al.,Published paper or report,"Jha, D. K., Vinithkumar, N., Santhnakumar, J., Nazar, A. A., & Kirubagaran, R. (2011). Assessment of post tsunami coral reef resource in Pongi Balu coast, south Andaman Islands. Current Science, 530-534. https://www.jstor.org/stable/24073090"
Andaman Sea,India - South Andaman Island,Forest Survey of India,Geevarghes et al.,Published paper or report,"Geevarghes, G., Mishra, A., Saxena, A., & Kushwaha, S. (2006). Mapping Coral Reef Habitat of South Andaman: A Comparative Analysis of Different Multi Spectral Data Sets [Paper presentation]. ISPRS-TC-IV, International Symposium on Geospatsial Data bases for sustainable Development.
"
Andaman Sea,India - South Andaman Island,"Department of Disaster Management, Pondicherry University",Eswaran et al.,Published paper or report,"Eswaran, Y. (2014). Assessment of land use and land cover changes in south Andaman Island using remote sensing and GIS. International Journal of Geomatics and Geosciences, 5, 171-181. "
Andaman Sea,Thailand,Department of Marine and Coastal Resources,Dr. Lalita Putchim,Existing Maps,Coral distribution map of Thailand by the Department of Marine and Coastal Resources
Andaman Sea,Thailand,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Andaman Sea,Thailand,"Phuket Marine Biological Center, Department of Marine and Coastal Resources",Adulyanukosol et al. (2006),Published paper or report,"Adulyanukosol, K., & Poovachiranon, S. (2006). Dugong (Dugong dugon) and seagrass in Thailand: present status and future challenges Proc. 3rd Int. Symp. SEASTAR and Asian Bio-logging Science."
Andaman Sea,Thailand,Department of Biological Sciences National University of Singapore,Loh et al. (2004),Published paper or report,"Loh, T., Chaipichit, S., Songploy, S., & Chou, L. (2004). The status of coral reefs of Surin Islands, Thailand, based on surveys in December 2004 [REST Technical Report](7). "
Andaman Sea,Malaysia,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Andaman Sea,Nicobar Islands,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
Brazil,Brazil - MPA Costa dos Corais,Projeto Conservação Recifal (PCR) and ICMBio Costa dos Corais,Dr. Pedro Henrique Pereira,Existing point data & Map,You can view the Projeto Conservação Recifal (PCR) website via the following link: http://conservacaorecifal.com/
Brazil,Brazil - Abrolhos Reefs,"Instituto de Biologia and SAGE-COPPE, Universidade Federal do Rio de Janeiro, Brazil",Teixeira et al. (2021),Published paper or report,"Teixeira, C. D., Chiroque-Solano, P. M., Ribeiro, F. V., Carlos-Júnior, L. A., Neves, L. M., Salomon, P. S., Salgado, L. T., Falsarella, L. N., Cardoso, G. O., Villela, L. B., Freitas, M. O., Moraes, F. C., Bastos, A. C., & Moura, R. L. (2021). Decadal (2006-2018) dynamics of Southwestern Atlantic’s largest turbid zone reefs. PLOS ONE, 16(2), e0247111. https://doi.org/10.1371/journal.pone.0247111"
Brazil,Brazil -The Doce River Shelf,"Rio de Janeiro Botanical Garden Research Institute, Brazil",Holz et al. (2020),Published paper or report,"Holz, V. L., Bahia, R. G., Karez, C. S., Vieira, F. V., Moraes, F. C., Vale, N. F., Sudatti, D. B., Salgado, L. T., Moura, R. L., Amado-Filho, G. M., & Bastos, A. C. (2020). Structure of Rhodolith Beds and Surrounding Habitats at the Doce River Shelf (Brazil). Diversity (Basel), 12(2), 75. https://doi.org/10.3390/d12020075 "
Brazil,Brazil - Abrolhos Archipelago,"Departamento de Engenharia e Meio Ambiente, Universidade Federal da Paraı´ba, Brazil",Francini-Filho et al. (2013),Published paper or report,"Francini-Filho, R. B., Coni, E. O. C., Meirelles, P. M., Amado-Filho, G. M., Thompson, F. L., Pereira-Filho, G. H., Bastos, A. C., Abrantes, D. P., Ferreira, C. M., Gibran, F. Z., Güth, A. Z., Sumida, P. Y. G., Oliveira, N. L., Kaufman, L., Minte-Vera, C. V., & Moura, R. L. (2013). Dynamics of Coral Reef Benthic Assemblages of the Abrolhos Bank, Eastern Brazil: Inferences on Natural and Anthropogenic Drivers. PLOS ONE, 8(1), e54260. https://doi.org/10.1371/journal.pone.0054260 
 
Data from: Dynamics of coral reef benthic assemblages of the Abrolhos Bank, eastern Brazil: inferences on natural and anthropogenic drivers, Dryad, Dataset, https://doi.org/10.5061/dryad.mc034"
Brazil,Brazil,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Brazil,Brazil,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central Indian Ocean,Maldives,"Remote Sensing Research Center, The University of Queensland, Brisbane, Australia","Chris Roelfsema, Eva Kovacs, Kathryn Markey, Emma Kennedy, Hana Amir, Azim Musthag",New georeferenced phototransects,Ground truth data collected by the UQ mapping team for the Allen Coral Atlas
Central Indian Ocean,India - Lakshadweep Archipelago,Nature Conservation Foundation,Rohan Arthur,Existing point data,"Arthur, R. Long-term monitoring data for Lakshadweep Archipelago, India. Nature Conservation Foundation
"
Central Indian Ocean,Maldives,LaMER Maldives,"Hussein Zahir, Azim Musthag",Existing point data,Data extracted from multiple Environmental Impact Surveys conducted by Land and Marine Environmental Research Institute (LaMER) between 2018-2020..  Website: awaiting input from Azim
Central Indian Ocean,"Huvadhoo Atoll, Maldives",Northumbria University,Holly East,Existing Maps,"East, H. K., Perry, C. T., Beetham, E. P., Kench, P. S. & Liang, Y. (2020). Modelling reef hydrodynamics and sediment mobility under sea level rise in atoll reef island systems, Global and Planetary Change, Volume 192, 2020. doi.org/10.1016/j.gloplacha.2020.103196 
Benthic classifications generated using Quickbird and WorldView-2 imagery "
Central Indian Ocean,"Huvadhoo Atoll, Maldives",Northumbria University,Holly East,Existing Maps,"East et. al., Pers. Comm."
Central Indian Ocean,Maldives,University of Hamburg,Betzler et al.,Existing point data,"Betzler, C., Lindhorst, S., Lüdmann, T., Weiß, B., Wunsch, M. & Braga, J. C. (2016). Grain size distribution of the lagoonal deposits within the South Malé Atoll, Maldives, Indian Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.858886, Supplement to: Betzler, C et al. (2015): The leaking bucket of a Maldives atoll: Implications for the understanding of carbonate platform drowning. Marine Geology, 366, 16-33, https://doi.org/10.1016/j.margeo.2015.04.009"
Central Indian Ocean,Maldives,"The University of Queensland, Australia and Banyan Tree Marine Laboratory, Maldives",Tania Kenyon,Existing point data,"Kenyon, T. 2020. From Rubble to Reef: The physical and biological dynamics of coral rubble beds. The University of Queensland"
Central Indian Ocean,"Vabbinfaru, North Malé Atoll, Maldives",Nanyang Technological University,Kyle Morgan,Existing point data,"Morgan, K. M., & Kench, P. S. (2016). Reef to island sediment connections on a Maldivian carbonate platform: using benthic ecology and biosedimentary depositional facies to examine island‐building potential. Earth Surface Processes and Landforms, 41(13), 1815-1825.  AND: Morgan, K. (2014). A calcium carbonate budget of a Maldivian reef platform (Doctoral dissertation, ResearchSpace@ Auckland).
"
Central Indian Ocean,"Vavvaru, Lhaviyani Atoll, Maldives","University of Exeter (UK), Nanyang Technological University (Singapore)","Chris Perry, Kyle Morgan",Existing point data,"Perry, C. T., Morgan, K. M., & Yarlett, R. T. (2017). Reef habitat type and spatial extent as interacting controls on platform-scale carbonate budgets. Frontiers in Marine Science, 4, 185."
Central Indian Ocean,Maldives,"Maldives Marine Research Institute (MMRI),  International Union for Conservation of Nature (IUCN) Project REGENERATE",Hana Ameer et al,Existing point data,"Survey data collected during 2016 to assess impact of mass bleaching.  Project REGENERATE, a Government of Maldives Project implemented by
IUCN and generously funded by USAID"
Central Indian Ocean,Maldives,Maldives Marine Research Institute,Hana Ameer et al,Existing point data,"Summaries of MMRI benthic monitoring data, 2019-2020."
Central Indian Ocean,Maldives,Maldives Marine Research Institute,Hana Ameer et al,Existing point data,"Summaries of MMRI benthic monitoring data, 2017-2018."
Central Indian Ocean,Huvadhu Atoll reef rim,Nanyang Technological University,Kyle Morgan,Existing point data,Unpublished benthic data contributed by Kyle Morgan
Central Indian Ocean,Maldives,"Global Change Institute, University of Queensland; XL Catlin Seaview Survey","Dr. Emma Kennedy, Dr. Manuel González-Rivero, Prof. Ove Hoegh-Guldberg",Existing point data,"González-Rivero, M., Rodriguez-Ramirez, A., Beijbom, O., Dalton, P., Kennedy, E. V., Neal, B. P., Vercelloni, J., Bongaerts, P., Ganase, A., Bryant, D. E. P., Brown, K., Kim, C., Radice, V. Z., Lopez-Marcano, S., Dove, S., Bailhache, C., Beyer, H. L. & Hoegh-Guldberg. O. (2019). ""Seaview Survey Photo-quadrat and Image Classification Dataset."" The University of Queensland. https://espace.library.uq.edu.au/view/UQ:734799

Rodriguez-Ramirez, A., González-Rivero, M., Beijbom, O., Bailhache, C., Bongaerts, P., Brown, K. T., Bryant, D. E. P., Dalton, P., Dove, S., Ganase, A., Kennedy, E. V., Kim, C. J. S., Lopez-Marcano, S., Neal, B. P., Radice, V. Z., Vercelloni, J., Beyer, H. L. & Hoegh-Guldberg, O. 2020. 'A contemporary baseline record of the world’s coral reefs', Scientific Data, 7: 355.
"
Central Indian Ocean,Maldives,Reef Life Surveys,Prof. Graham Edgar,Existing point data,"Edgar, G.J. & Stuart-Smith, R.D. (2020). Reef Life Survey (RLS): Survey Locations. Institute for Marine and Antarctic Studies (IMAS). Data accessed at https://catalogue-rls.imas.utas.edu.au/geonetwork/srv/en/metadata.show?uuid=4972fa20-195b-41e4-bee8-8175d6ac792b on [25/05/2020].   Associated data paper:  Edgar, G.J. & Stuart-Smith, R.D. (2020). Systematic global assessment of reef fish communities by the Reef Life Survey program. Scientific Data, 1(1), 1-8. Article 140007. doi:10.1038/sdata.2014.7 ISSN 2052-4463 (2014) "
Central Indian Ocean,India - Lakshadweep,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Central Indian Ocean,Maldives,Reef Check,"Dr. Jan Freiwald, Dr. Mary Donovan",Existing point data,"These data were contributed by Reef Check Foundation, its chapters worldwide, and the volunteers who did the data collection"
Central Indian Ocean,"Olhuveli Island, Maldives",Maldives Underwater Initiative,Philippa Roe,Existing point data,"MUI Six Senses Laamu Seagrass Monitoring 2020. (Unpublished), 2020."
Central Indian Ocean,"Laamu Atoll, Maldives",Maldives Resilient Reefs,"Blue Marine Foundation
University of York, UK
Six Senses Laamu",Existing point data,Coral reefs and seagrass surveys in Laamu Atoll. Unpublished work.
Central Indian Ocean,Maldives,"UC San Diego, Waitt Institute,  Maldives Marine Research Institute (MMRI)","100 Island Challenge, Scripps Institution of Oceanography
Waitt Institute
 Maldives Marine Research Institute (MMRI) ",Existing point data,
Central Indian Ocean,"British Indian Ocean Territory - The Chagos Archipelago, Central Indian Ocean","School of Ocean Sciences, Bangor University","Sivajyodee Sannassy Pilly, Dr Ronan Roche, Professor John R Turner",Existing point data,Sannassy Pilly et al - in Prep
Central Indian Ocean,"British Indian Ocean Territory - The Chagos Archipelago, Central Indian Ocean",University College London,"Dan Bayley, Andrew Mogg",Image Mosaics,"Imagery was produced by the UCL Centre for Biodiversity and Environment Research, and Tritonia Scientific. The work was conducted within the project ‘Monitoring Coral Reefs in the British Indian Ocean Territory’ (2016-2019). Work was generously funded by the Bertarelli Foundation, NERC, and the Zoological Society of London."
Central Indian Ocean,"Maldives, Central Indian Ocean","Marine Research Center, Maldives",Dr Abdulla Naseer,Existing Maps,"Naseer, A., & Hatcher, B. G. (2004). Inventory of the Maldives' coral reefs using morphometrics generated from Landsat ETM+ imagery. Coral Reefs, 23(1), 161-168. https://doi.org/10.1007/s00338-003-0366-6"
Central Indian Ocean,"Maldives, Central Indian Ocean",Samara State University of Social Science and Education/Seamarc Pvt. Ltd (Maldives),Konstantin S. Tkachenko,Existing point data,"Tkachenko, K. S. (2012). The northernmost coral frontier of the Maldives: The coral reefs of Ihavandippolu Atoll under long-term environmental change. Mar Environ Res, 82, 40-48. https://doi.org/10.1016/j.marenvres.2012.09.004 
 
Tkachenko, K. S. (2014). The influence of repetitive thermal stresses on the dominance of reef-building Acropora spp. (Scleractinia) on coral reefs of the Maldive Islands. Russian Journal of Marine Biology, 40(4), 286-294. https://doi.org/10.1134/s1063074014040105

Tkachenko, K. S. (2015). Impact of repetitive thermal anomalies on survival and development of mass reef-building corals in the Maldives. Marine Ecology, 36(3), 292-304. https://doi.org/10.1111/maec.12138 
"
Central Indian Ocean,"Lakshadweep, India","Department of Science and Technology, UT of Lakshadweep, India","Dr K.K. Idrees Babu, Abdul Riyas, Professor S Suresh Kumar",Existing point data,"Riyas, C. A., Idreesbabu, K. K., Marimuthu, N., & Sureshkumar, S. (2020). Impact of the tropical cyclone Ockhi on ecological and geomorphological structures of the small low-lying Islands in the Central Indian Ocean. Regional Studies in Marine Science, 33."
Central Indian Ocean,Maldives,"Remote Sensing Research Center, The University of Queensland, Brisbane, Australia","Chris Roelfsema, Eva Kovacs, Kathryn Markey, Emma Kennedy, Hana Amir, Azim Musthag",New georeferenced phototransects,Ground truth data collected by the UQ mapping team for the Allen Coral Atlas
Central Indian Ocean,"Lakshadweep Archipelago, India",Nature Conservation Foundation,Rohan Arthur,Existing point data,"Arthur, R. Long-term monitoring data for Lakshadweep Archipelago, India. Nature Conservation Foundation
"
Central Indian Ocean,Maldives,LaMER Maldives,"Hussein Zahir, Azim Musthag",Existing point data,Data extracted from multiple Environmental Impact Surveys conducted by Land and Marine Environmental Research Institute (LaMER) between 2018-2020..  Website: awaiting input from Azim
Central Indian Ocean,"Huvadhoo Atoll, Maldives",Northumbria University,Holly East,Existing Maps,"East, H. K., Perry, C. T., Beetham, E. P., Kench, P. S. & Liang, Y. (2020). Modelling reef hydrodynamics and sediment mobility under sea level rise in atoll reef island systems, Global and Planetary Change, Volume 192, 2020. doi.org/10.1016/j.gloplacha.2020.103196 
Benthic classifications generated using Quickbird and WorldView-2 imagery "
Central Indian Ocean,"Huvadhoo Atoll, Maldives",Northumbria University,Holly East,Existing Maps,"East et. al., Pers. Comm."
Central Indian Ocean,Maldives,University of Hamburg,Betzler et al.,Existing point data,"Betzler, C., Lindhorst, S., Lüdmann, T., Weiß, B., Wunsch, M. & Braga, J. C. (2016). Grain size distribution of the lagoonal deposits within the South Malé Atoll, Maldives, Indian Ocean. PANGAEA, https://doi.org/10.1594/PANGAEA.858886, Supplement to: Betzler, C et al. (2015): The leaking bucket of a Maldives atoll: Implications for the understanding of carbonate platform drowning. Marine Geology, 366, 16-33, https://doi.org/10.1016/j.margeo.2015.04.009"
Central Indian Ocean,Maldives,"The University of Queensland, Australia and Banyan Tree Marine Laboratory, Maldives",Tania Kenyon,Existing point data,"Kenyon, T. 2020. From Rubble to Reef: The physical and biological dynamics of coral rubble beds. The University of Queensland"
Central Indian Ocean,"Vabbinfaru, North Malé Atoll, Maldives",Nanyang Technological University,Kyle Morgan,Existing point data,"Morgan, K. M., & Kench, P. S. (2016). Reef to island sediment connections on a Maldivian carbonate platform: using benthic ecology and biosedimentary depositional facies to examine island‐building potential. Earth Surface Processes and Landforms, 41(13), 1815-1825.  AND: Morgan, K. (2014). A calcium carbonate budget of a Maldivian reef platform (Doctoral dissertation, ResearchSpace@ Auckland).
"
Central Indian Ocean,"Vavvaru, Lhaviyani Atoll, Maldives","University of Exeter (UK), Nanyang Technological University (Singapore)","Chris Perry, Kyle Morgan",Existing point data,"Perry, C. T., Morgan, K. M., & Yarlett, R. T. (2017). Reef habitat type and spatial extent as interacting controls on platform-scale carbonate budgets. Frontiers in Marine Science, 4, 185."
Central Indian Ocean,Maldives,"Maldives Marine Research Institute (MMRI),  International Union for Conservation of Nature (IUCN) Project REGENERATE",Hana Ameer et al,Existing point data,"Survey data collected during 2016 to assess impact of mass bleaching.  Project REGENERATE, a Government of Maldives Project implemented by
IUCN and generously funded by USAID"
Central Indian Ocean,Maldives,Maldives Marine Research Institute,Hana Ameer et al,Existing point data,"Summaries of MMRI benthic monitoring data, 2019-2020."
Central Indian Ocean,Maldives,Maldives Marine Research Institute,Hana Ameer et al,Existing point data,"Summaries of MMRI benthic monitoring data, 2017-2018."
Central Indian Ocean,Huvadhu Atoll reef rim,Nanyang Technological University,Kyle Morgan,Existing point data,Unpublished benthic data contributed by Kyle Morgan
Central Indian Ocean,"Olhuveli Island, Maldives",Maldives Underwater Initiative,Philippa Roe,Existing point data,"MUI Six Senses Laamu Seagrass Monitoring 2020. (Unpublished), 2020."
Central Indian Ocean,"Laamu Atoll, Maldives",Maldives Resilient Reefs,"Blue Marine Foundation
University of York, UK
Six Senses Laamu",Existing point data,Coral reefs and seagrass surveys in Laamu Atoll. Unpublished work.
Central Indian Ocean,Maldives,"UC San Diego, Waitt Institute,  Maldives Marine Research Institute (MMRI)","100 Island Challenge, Scripps Institution of Oceanography
Waitt Institute
 Maldives Marine Research Institute (MMRI) ",Existing point data,
Central Indian Ocean,"The Chagos Archipelago, Central Indian Ocean","School of Ocean Sciences, Bangor University","Sivajyodee Sannassy Pilly, Dr Ronan Roche, Professor John R Turner",Existing point data,Sannassy Pilly et al - in Prep
Central Indian Ocean,"The Chagos Archipelago, Central Indian Ocean",University College London,"Dan Bayley, Andrew Mogg",Image Mosaics,"Imagery was produced by the UCL Centre for Biodiversity and Environment Research, and Tritonia Scientific. The work was conducted within the project ‘Monitoring Coral Reefs in the British Indian Ocean Territory’ (2016-2019). Work was generously funded by the Bertarelli Foundation, NERC, and the Zoological Society of London."
Central Indian Ocean,"Maldives, Central Indian Ocean","Marine Research Center, Maldives",Dr Abdulla Naseer,Existing Maps,"Naseer, A., & Hatcher, B. G. (2004). Inventory of the Maldives' coral reefs using morphometrics generated from Landsat ETM+ imagery. Coral Reefs, 23(1), 161-168. https://doi.org/10.1007/s00338-003-0366-6"
Central Indian Ocean,"Maldives, Central Indian Ocean",Samara State University of Social Science and Education/Seamarc Pvt. Ltd (Maldives),Konstantin S. Tkachenko,Existing point data,"Tkachenko, K. S. (2012). The northernmost coral frontier of the Maldives: The coral reefs of Ihavandippolu Atoll under long-term environmental change. Mar Environ Res, 82, 40-48. https://doi.org/10.1016/j.marenvres.2012.09.004 
 
Tkachenko, K. S. (2014). The influence of repetitive thermal stresses on the dominance of reef-building Acropora spp. (Scleractinia) on coral reefs of the Maldive Islands. Russian Journal of Marine Biology, 40(4), 286-294. https://doi.org/10.1134/s1063074014040105

Tkachenko, K. S. (2015). Impact of repetitive thermal anomalies on survival and development of mass reef-building corals in the Maldives. Marine Ecology, 36(3), 292-304. https://doi.org/10.1111/maec.12138 
"
Central Indian Ocean,India - Lakshadweep,"Department of Science and Technology, UT of Lakshadweep, India","Dr K.K. Idrees Babu, Abdul Riyas, Professor S Suresh Kumar",Existing point data,"Riyas, C. A., Idreesbabu, K. K., Marimuthu, N., & Sureshkumar, S. (2020). Impact of the tropical cyclone Ockhi on ecological and geomorphological structures of the small low-lying Islands in the Central Indian Ocean. Regional Studies in Marine Science, 33."
Central Indian Ocean,Chagos Archipelago,"Millennium Coral Reef Mapping Project, Institute for Marine Remote Sensing, University of South Florida (IMaRS/USF) and Institut de Recherche pour le Développement (IRD/UR 128, Centre de Nouméa).",Serge Andréfouët et al.,Existing point data,"Andrefouet, S., Muller-Karger, F. E., Robinson, J. A., Kranenburg, C. J., Torres-Pulliza, D., Spraggins, S. A., & Murch, B. (2006, June). Global assessment of modern coral reef extent and diversity for regional science and management applications: a view from space. In Proceedings of the 10th International Coral Reef Symposium (Vol. 2, pp. 1732-1745). Japanese Coral Reef Society Okinawa, Japan."
